,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
49,requests,420,7,49,476,1071,7,0.03136250059046383,0.481277326371045,0.42795351473922916,1.0,0.04964730887731384,64,52,45,64,52,45,0,0,0,78,3.079916930158727
48,instruction,402,7,45,454,1024,7,0.024484946384506465,0.48126312803456056,0.4306977019663588,1.0,0.0504262767448893,61,49,42,61,49,42,0,0,0,69,3.076022388276253
67,instruction,586,7,59,652,1484,7,0.0015972990270970142,0.48501222297012214,0.43854623760767086,1.0,0.034267734060673606,106,68,55,106,68,55,0,0,0,110,3.155790356573045
47,instruction,401,7,45,453,1022,7,0.02460612791835637,0.4808558907955938,0.4301092506828169,1.0,0.0505584295134898,60,48,41,60,48,41,0,0,0,69,3.0730402655586606
45,instruction,399,7,45,451,1018,7,0.02468990087318702,0.4804797372098795,0.42942475235708333,1.0,0.0508407558827727,59,47,40,59,47,40,0,0,0,69,3.0677638975075343
44,assertives,394,7,43,444,1004,7,0.020638895051212528,0.47965395065466804,0.43047498187092104,1.0,0.05131589050424878,59,47,40,59,47,40,0,0,0,69,3.06722631137877
43,requests,392,7,43,442,1000,7,0.02116150894056895,0.4792624379147423,0.4297801263362488,1.0,0.05145543350093463,57,45,38,57,45,38,0,0,0,69,3.061713445557651
41,directives(request),341,7,41,389,865,7,0.01904879195054356,0.4849705979790661,0.43166457198715236,1.0,0.06513479517681199,56,44,37,56,44,37,0,0,0,69,4.087083710507951
40,instruction,327,7,39,373,828,7,0.013130678438003222,0.48639998900485454,0.4341415465268674,1.0,0.06613002636072242,53,41,34,53,41,34,0,0,0,69,4.047210213475447
32,requests,279,7,32,318,706,7,0.008580928710554735,0.4851027301928349,0.43643113159242203,1.0,0.07119749814798576,47,35,28,47,35,28,0,0,0,61,2.447471009738622
33,requests,290,7,33,330,735,7,0.011745126659133763,0.4837996740074883,0.4350492610837439,1.0,0.06994381545507534,47,35,28,47,35,28,0,0,0,61,3.9877628681633848
30,requests,260,7,30,297,657,7,0.008999182689115827,0.4870181545445231,0.4389652014652017,1.0,0.07334850268157685,45,33,26,44,32,25,0,0,0,53,-1.0
31,instruction,263,7,31,301,665,7,0.012206882014222995,0.48783930230884204,0.4385207314865112,1.0,0.0726682305727333,45,33,26,44,32,25,0,0,0,53,3.055311631227672
36,instruction,304,7,36,347,771,7,0.014337142710906758,0.48513407006667775,0.4337640977443609,1.0,0.0681766569787816,50,38,31,50,38,31,0,0,0,67,4.003370805401483
37,instruction,305,7,36,348,773,7,0.01450976229585298,0.4850764416040706,0.4338719750195161,1.0,0.0679498996091671,50,38,31,50,38,31,0,0,0,67,4.022212406127224
34,instruction,294,7,34,335,746,7,0.01389903141126738,0.4836253686062006,0.4337787495950763,1.0,0.06907801458927447,47,35,28,47,35,28,0,0,0,61,3.9927549424728124
35,commissives,301,7,35,343,763,7,0.011561340878615354,0.48438771287638593,0.4341006169909825,1.0,0.0686714003306678,50,38,31,50,38,31,0,0,0,67,4.016133642201258
38,requests,323,7,38,368,818,7,0.010474398357770854,0.4858645001895405,0.4344611528822052,1.0,0.06674052697122303,53,41,34,53,41,34,0,0,0,69,4.043218556255114
39,instruction,326,7,39,372,826,7,0.01299303086169225,0.4864566633328209,0.43404177621969,1.0,0.0663228160271963,53,41,34,53,41,34,0,0,0,69,4.029217051241478
