id,trust_value,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
Building5549.0,0.6,4,0,2,6,7,2,-0.5477225575051661,0.8400000000000001,0.7333333333333334,1.0,0,1,1,0,1,0,0,0,0,0,1,3.123411762307297
Building7791.0,0.8333333333329997,7,0,3,10,16,2,-0.4646766902382152,0.8734567901234569,0.8379629629629631,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
RouteSet2827.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Building23635.0,0.8333333333329997,11,0,7,18,32,3,-0.32548818321193435,0.8600373482726424,0.7787301587301588,0.9761904761904762,0,2,2,0,2,2,0,0,0,0,2,-1.0
Building5166.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777778,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route30430.0,0.75,5,0,2,7,10,3,-0.3227486121839514,0.8166666666666668,0.725,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route10843.0,0.8823529411759998,84,0,32,116,288,5,0.05104329572702748,0.838584792098165,0.8859431667147074,0.7157490079365079,0,3,3,0,3,3,0,0,0,0,3,-1.0
Building7771.0,0.8333333333329997,7,0,3,10,16,2,-0.4646766902382152,0.8734567901234569,0.8379629629629629,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building7571.0,0.8333333333329997,7,0,3,10,16,2,-0.4646766902382152,0.8734567901234568,0.8379629629629629,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building32574.0,0.4,4,0,2,6,7,2,-0.5477225575051661,0.8400000000000001,0.7333333333333334,1.0,0,1,1,0,1,0,0,0,0,0,1,3.123411762307297
Route48895.0,0.8,7,0,4,11,18,3,-0.2668800507329065,0.8622222222222222,0.7703703703703705,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building5959.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777777,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route60532.0,0.666666666667,3,0,0,3,2,2,-1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,-1.0
Route38612.0,0.75,5,0,2,7,10,3,-0.3227486121839514,0.8166666666666668,0.725,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route57631.0,0.75,8,0,3,11,20,3,-0.28361519782547,0.8011111111111111,0.7396825396825397,0.9444444444444444,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building19027.0,0.8333333333329997,9,0,5,14,24,3,-0.3639372626234195,0.8380341880341882,0.7576388888888891,0.9666666666666668,0,2,2,0,2,2,0,0,0,0,2,-1.0
RouteSet3066.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
RouteSet5629.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Building5174.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777778,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
RouteSet12257.1,0.875,7,0,6,13,18,2,-0.5,0.93006993006993,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Route18689.0,0.8333333333329997,9,0,6,15,26,3,-0.2722074211540951,0.8910910518053374,0.8094093406593407,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building1499.0,0.8333333333329997,13,0,9,22,40,3,-0.2596583812374405,0.8800831443688586,0.8040343915343916,0.9814814814814816,0,2,2,0,2,2,0,0,0,0,2,-1.0
Building32588.0,0.4,4,0,2,6,7,2,-0.5477225575051661,0.8400000000000001,0.7333333333333334,1.0,0,1,1,0,1,0,0,0,0,0,1,3.123411762307297
RouteSet24214.1,0.75,3,0,2,5,6,2,-0.5,0.8666666666666666,0.7777777777777777,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route21821.0,0.8571428571430002,25,0,9,34,72,3,-0.1191421764446307,0.8286418295509205,0.8695412457912459,0.7195767195767195,0,2,2,0,2,2,0,0,0,0,2,-1.0
Route50269.0,0.75,8,0,3,11,20,3,-0.2836151978254699,0.8011111111111111,0.7396825396825397,0.9444444444444444,0,2,1,0,2,0,0,0,0,0,2,-1.0
RouteSet24148.1,0.75,3,0,2,5,6,2,-0.5,0.8666666666666666,0.7777777777777778,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building25042.0,0.4,4,0,2,6,7,2,-0.5477225575051661,0.8400000000000001,0.7333333333333334,1.0,0,1,1,0,1,0,0,0,0,0,1,3.123411762307297
Route59071.0,0.666666666667,3,0,0,3,2,2,-1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,-1.0
Route56271.0,0.75,5,0,2,7,10,3,-0.3227486121839514,0.8166666666666668,0.725,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route27269.0,0.9090909090910002,41,0,18,59,130,4,-0.0199975385167758,0.8251696943674097,0.8550674854041727,0.7587301587301588,0,4,4,0,3,3,0,0,0,0,4,-1.0
RouteSet17780.1,0.75,3,0,2,5,6,2,-0.5,0.8666666666666666,0.7777777777777778,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
RouteSet2843.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
RouteSet5811.2,0.875,7,0,4,11,16,2,-0.4460731063101577,0.8606060606060606,0.8761904761904761,0.8333333333333333,0,1,1,0,1,0,0,0,0,0,1,-1.0
RouteSet9440.1,0.6,6,0,3,9,15,2,-0.4129737962084019,0.8796296296296297,0.8472222222222223,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building35706.0,0.666666666667,2,0,0,2,1,1,-1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,-1.0
RouteSet8290.1,0.8333333333329997,5,0,4,9,12,2,-0.5,0.9047619047619048,0.8285714285714286,1.0,0,1,1,0,1,0,0,0,0,0,1,3.263904326937052
Route51171.0,0.75,5,0,2,7,10,3,-0.3227486121839514,0.8166666666666668,0.725,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
RouteSet2495.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Building10749.0,0.8333333333329997,17,0,10,27,54,4,-0.21703644999815744,0.8359473859473862,0.7792478354978355,0.9266666666666667,0,3,3,0,3,3,0,0,0,0,3,-1.0
RouteSet7235.1,0.75,3,0,2,5,6,2,-0.5,0.8666666666666668,0.7777777777777777,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building18307.0,0.8333333333329997,9,0,5,14,24,3,-0.3639372626234196,0.8380341880341879,0.7576388888888891,0.9666666666666666,0,2,2,0,2,2,0,0,0,0,2,-1.0
Route57672.0,0.8,7,0,4,11,18,3,-0.2668800507329065,0.8622222222222223,0.7703703703703703,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Building17907.0,0.8333333333329997,9,0,5,14,24,3,-0.3639372626234195,0.8380341880341879,0.7576388888888889,0.9666666666666666,0,2,2,0,2,2,0,0,0,0,2,-1.0
Building2599.0,0.8333333333329997,38,0,21,59,137,4,0.08525405519042828,0.8418735596551103,0.8444041128184351,0.8374149659863945,0,3,3,0,3,3,0,0,0,0,3,-1.0
