id,trust_value
Route55344.0,0.8
Route58064.0,0.75
Route59251.0,0.666666666667
Building2377.0,0.75
Route38084.0,0.75
Route30850.0,0.75
Route38728.0,0.75
Building6861.0,0.833333333333
Route18927.0,0.857142857143
Route27347.0,0.888888888889
RouteSet21324.1,0.833333333333
Route21886.0,0.75
Route12689.0,0.928571428571
RouteSet20107.1,0.875
RouteSet2575.4,0.666666666667
RouteSet2575.5,0.928571428571
RouteSet2575.2,0.625
RouteSet2575.3,0.5
Route38914.0,0.833333333333
RouteSet2575.1,0.777777777778
Building25900.0,0.4
Route43428.0,0.833333333333
Route31134.0,0.8
Building21053.0,0.4
Building11688.0,0.833333333333
Route10587.0,0.833333333333
Route51391.0,0.833333333333
Building7335.0,0.833333333333
Building23699.0,0.4
Building23787.0,0.833333333333
Building3236.0,0.75
Building31251.0,0.833333333333
Building11801.0,0.833333333333
RouteSet3154.2,0.909090909091
RouteSet3154.1,0.714285714286
RouteSet2569.1,0.875
Building2251.0,0.833333333333
RouteSet20590.1,0.75
Building7607.0,0.833333333333
RouteSet6627.1,0.875
Route18953.0,0.833333333333
Building18995.0,0.4
Route29418.0,0.9
Building4882.0,0.75
Route22296.0,0.8
Route49190.0,0.833333333333
Building7623.0,0.833333333333
RouteSet6603.1,0.875
Route39938.0,0.875
RouteSet9792.1,0.875
Route26609.0,0.75
Building12567.0,0.833333333333
Route41047.0,0.857142857143
RouteSet9964.1,0.833333333333
Route31049.0,0.75
Route18795.0,0.857142857143
Building11674.0,0.833333333333
Route40710.0,0.818181818182
Building3496.0,0.833333333333
Route56132.0,0.75
RouteSet2561.1,0.875
RouteSet5717.2,0.875
RouteSet20197.1,0.75
Building2805.0,0.833333333333
Route60704.0,0.666666666667
Building9853.0,0.833333333333
Route60238.0,0.666666666667
RouteSet9986.1,0.833333333333
Route11856.0,0.846153846154
RouteSet9916.2,0.833333333333
Building12577.0,0.833333333333
RouteSet9916.1,0.6
Route40098.0,0.8
Route39748.0,0.833333333333
Route36719.0,0.888888888889
Building8453.0,0.833333333333
Building18295.0,0.833333333333
Building5855.0,0.75
Building3160.0,0.75
Route51594.0,0.75
Building3920.0,0.75
Route41547.0,0.6
RouteSet7275.1,0.6
Building20958.0,0.833333333333
Route38657.0,0.833333333333
Building22916.0,0.833333333333
Route24127.0,0.833333333333
Building4244.0,0.75
Building35292.0,0.4
RouteSet805.1,0.875
Route49433.0,0.833333333333
Building25836.0,0.4
Building2943.0,0.833333333333
RouteSet10781.1,0.833333333333
Route41278.0,0.714285714286
Building10042.0,0.833333333333
Building5583.0,0.833333333333
Route34143.0,0.857142857143
RouteSet20187.2,0.909090909091
Route59118.0,0.666666666667
Route1337.0,0.833333333333
Route27357.0,0.714285714286
Building4674.0,0.75
RouteSet20948.1,0.833333333333
Building12505.0,0.833333333333
Building8306.0,0.833333333333
Building2479.0,0.833333333333
RouteSet21332.1,0.875
Building5749.0,0.75
Building2485.0,0.833333333333
Route36050.0,0.875
RouteSet18242.1,0.6
RouteSet2503.1,0.714285714286
Route59974.0,0.666666666667
RouteSet2503.2,0.909090909091
RouteSet12215.2,0.909090909091
Building6853.0,0.833333333333
RouteSet12479.1,0.833333333333
RouteSet5356.1,0.875
Route57838.0,0.8
Route30469.0,0.8
RouteSet2661.2,0.846153846154
RouteSet2661.3,0.666666666667
RouteSet2661.1,0.6
Building20789.0,0.8
Route39211.0,0.75
RouteSet9512.1,0.833333333333
Building4588.0,0.75
Route47547.0,0.8
RouteSet21180.1,0.833333333333
Route35755.0,0.666666666667
Building2953.0,0.833333333333
Building3524.0,0.75
Building5851.0,0.75
Building6473.0,0.75
Route39059.0,0.833333333333
Building4370.0,0.75
Route45879.0,0.833333333333
Route31099.0,0.75
Building1837.0,0.833333333333
RouteSet9500.1,0.75
RouteSet3508.1,0.875
RouteSet4954.1,0.875
RouteSet12471.1,0.875
RouteSet8841.1,0.833333333333
Route30982.0,0.8
RouteSet23354.1,0.833333333333
Route40786.0,0.833333333333
Route17260.0,0.818181818182
Building4310.0,0.75
Building1770.0,0.833333333333
RouteSet2267.1,0.875
RouteSet1102.1,0.75
Route51183.0,0.833333333333
Route26620.0,0.8
Route56893.0,0.666666666667
Route57009.0,0.75
RouteSet5368.1,0.875
RouteSet2675.1,0.888888888889
Route46942.0,0.8
Building16526.0,0.833333333333
Route25895.0,0.833333333333
Building7341.0,0.833333333333
Route35767.0,0.666666666667
Route60572.0,0.666666666667
RouteSet3092.1,0.875
RouteSet9508.1,0.75
RouteSet25283.1,0.75
RouteSet20351.1,0.75
Building18442.0,0.833333333333
Building5821.0,0.833333333333
Building5769.0,0.75
Building7531.0,0.833333333333
Building3134.0,0.833333333333
RouteSet20625.1,0.4
Building4318.0,0.75
Route40250.0,0.8
Route30696.0,0.8
Route58736.0,0.75
Route58251.0,0.75
RouteSet729.1,0.916666666667
RouteSet9085.1,0.75
RouteSet5589.1,0.875
Route55787.0,0.8
Building20580.0,0.833333333333
RouteSet2196.3,0.8
RouteSet2196.2,0.428571428571
RouteSet2196.1,0.444444444444
Building24531.0,0.833333333333
RouteSet2196.4,0.666666666667
RouteSet20762.2,0.909090909091
Building881.0,0.833333333333
Route43044.0,0.857142857143
Building4366.0,0.75
RouteSet2277.3,0.5
RouteSet2277.2,0.823529411765
RouteSet2277.1,0.666666666667
RouteSet11676.6,0.75
RouteSet2277.4,0.8
RouteSet18050.1,0.714285714286
RouteSet18050.2,0.909090909091
Route59324.0,0.666666666667
RouteSet21397.1,0.75
RouteSet10759.1,0.833333333333
RouteSet2601.1,0.6
RouteSet2601.2,0.846153846154
RouteSet2601.3,0.666666666667
Building25108.0,0.4
RouteSet12453.1,0.875
Route11493.0,0.777777777778
RouteSet23653.1,0.833333333333
Building3378.0,0.833333333333
Building4594.0,0.75
Building5234.0,0.75
Route58067.0,0.75
Building10667.0,0.833333333333
RouteSet2951.1,0.875
RouteSet7537.1,0.6
Building6117.0,0.833333333333
Building20187.0,0.875
Route35996.0,0.75
Building20856.0,0.833333333333
Route42766.0,0.857142857143
Building5835.0,0.833333333333
Building34450.0,0.833333333333
Building36068.0,0.8
Building5442.0,0.833333333333
RouteSet2931.2,0.875
Route30484.0,0.888888888889
RouteSet2931.1,0.714285714286
Building5775.0,0.75
Building24603.0,0.4
Route54461.0,0.75
Building3366.0,0.833333333333
Route12902.0,0.916666666667
Building17180.0,0.833333333333
RouteSet25390.1,0.833333333333
Route50538.0,0.75
Building25220.0,0.833333333333
Route57326.0,0.75
Route44343.0,0.833333333333
RouteSet11610.1,0.6
Route41598.0,0.833333333333
Route13534.0,0.833333333333
Building3516.0,0.833333333333
Route49480.0,0.875
Route55308.0,0.666666666667
Building10713.0,0.833333333333
Route40232.0,0.833333333333
Route33485.0,0.571428571429
RouteSet11630.1,0.833333333333
Building1627.0,0.833333333333
Route58969.0,0.666666666667
Route53435.0,0.75
RouteSet24853.1,0.75
RouteSet8873.1,0.833333333333
RouteSet12443.1,0.833333333333
Route10185.0,0.833333333333
RouteSet5545.2,0.875
RouteSet5545.1,0.714285714286
Building20197.0,0.833333333333
Building12607.0,0.833333333333
Building8206.0,0.833333333333
RouteSet10030.2,0.666666666667
RouteSet10725.2,0.777777777778
