id,trust_value,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
Route40731.0,0.833333333333,2,1,2,5,6,2,0.25,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,2,1,2,1,0,0,0,1,-1.0
RouteSet3420.1,0.875,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
Building8210.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building8162.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
RouteSet12167.1,0.875,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
Building5973.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route49610.0,0.8,8,4,5,17,30,5,0.18544954675500003,0.5567460317460317,0.6059523809523809,0.4583333333333333,0,3,4,4,3,4,4,0,0,0,3,-1.0
Building3670.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
RouteSet21355.1,0.6,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
RouteSet19278.1,0.25,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
Route58014.0,0.75,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Building4096.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
RouteSet3048.2,0.909090909091,5,2,3,10,17,4,0.0351125404833,0.6142857142857142,0.6599999999999999,0.5,0,2,3,3,2,3,3,0,0,0,2,-1.0
Building5112.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building12257.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
RouteSet12583.1,0.833333333333,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
Route28753.0,0.833333333333,8,5,5,18,30,6,0.258419855889,0.5567460317460318,0.605952380952381,0.4583333333333333,0,3,4,5,3,4,5,0,0,0,3,-1.0
Building18555.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route48842.0,0.833333333333,2,1,2,5,6,2,0.25,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,2,1,2,1,0,0,0,1,-1.0
RouteSet2255.7,0.5,6,4,4,14,24,5,0.356753034006,0.5555555555555556,0.6,0.4666666666666666,0,3,4,5,2,3,4,0,0,0,3,-1.0
RouteSet2255.6,0.7272727272730001,5,3,3,11,17,5,0.185369499466,0.6142857142857142,0.6599999999999999,0.5,0,2,3,4,2,3,4,0,0,0,2,-1.0
RouteSet2255.5,0.625,8,4,5,17,32,6,0.362782015546,0.5416666666666667,0.575,0.475,0,4,5,6,4,5,6,0,0,0,4,-1.0
RouteSet2255.4,0.5,6,4,4,14,24,5,0.356753034006,0.5555555555555556,0.6,0.4666666666666666,0,3,4,5,2,3,4,0,0,0,3,-1.0
RouteSet2255.3,0.666666666667,6,4,4,14,24,5,0.301624673409,0.5592592592592592,0.6055555555555555,0.4666666666666666,0,2,3,4,2,3,4,0,0,0,2,-1.0
RouteSet2255.2,0.357142857143,5,3,3,11,17,5,0.185369499466,0.6142857142857142,0.6599999999999999,0.5,0,2,3,4,2,3,4,0,0,0,2,-1.0
RouteSet2255.1,0.375,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
RouteSet17233.3,0.5,6,3,4,13,24,4,0.206756116241,0.5592592592592592,0.6055555555555555,0.4666666666666666,0,2,3,3,2,3,3,0,0,0,2,-1.0
Route50283.0,0.5714285714289999,6,3,4,13,21,5,0.114682927731,0.5888888888888889,0.6611111111111111,0.4444444444444444,0,3,4,4,3,4,4,0,0,0,3,-1.0
RouteSet2255.9,0.666666666667,9,5,6,20,39,6,0.387597633873,0.5200680272108843,0.5534391534391534,0.46,0,4,5,6,4,5,6,0,0,0,4,-1.0
RouteSet2255.8,0.909090909091,9,5,6,20,39,6,0.417173329467,0.4537414965986395,0.4687830687830688,0.4266666666666665,0,4,5,6,4,5,6,0,0,0,4,-1.0
Route53487.0,0.833333333333,16,8,9,33,76,5,0.433297558204,0.4684373496873498,0.4630726911976912,0.4791666666666667,0,3,4,5,3,4,5,0,0,0,3,-1.0
Building31696.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
RouteSet23689.1,0.6,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
RouteSet2825.1,0.875,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
Building34769.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route9409.0,0.666666666667,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route45833.0,0.833333333333,2,1,2,5,6,2,0.25,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,2,1,2,1,0,0,0,1,-1.0
Building6441.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building18329.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building9514.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building21249.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building2573.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building5927.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route34404.0,0.666666666667,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route59211.0,0.666666666667,4,2,3,9,13,4,0.18446619684300003,0.6222222222222221,0.725,0.4166666666666666,0,2,3,3,2,3,3,0,0,0,2,-1.0
Route41473.0,0.833333333333,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Building17870.0,0.875,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building6231.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building4778.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building3618.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
RouteSet11805.2,0.909090909091,5,3,3,11,17,5,0.185369499466,0.6142857142857142,0.6599999999999999,0.5,0,2,3,4,2,3,4,0,0,0,2,-1.0
Building19025.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route38816.0,0.75,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route37353.0,0.75,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
RouteSet3060.1,0.875,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
Building21255.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route59271.0,0.666666666667,2,1,2,5,6,2,0.25,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,2,1,2,1,0,0,0,1,-1.0
Route56701.0,0.8,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route30379.0,0.75,2,1,2,5,6,2,0.25,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,2,1,2,1,0,0,0,1,-1.0
Building4934.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route41000.0,0.833333333333,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Building1158.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route30756.0,0.8,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
RouteSet10719.1,0.833333333333,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
Building8232.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route47332.0,0.666666666667,9,5,6,20,39,6,0.440798808429,0.5047619047619049,0.5370370370370371,0.44666666666666666,0,3,4,5,3,4,5,0,0,0,3,-1.0
Building3666.0,0.5,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route58697.0,0.75,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Building4928.0,0.75,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building25040.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route25725.0,0.833333333333,8,5,5,18,30,6,0.258419855889,0.5567460317460317,0.605952380952381,0.4583333333333333,0,3,4,5,3,4,5,0,0,0,3,-1.0
RouteSet11682.1,0.833333333333,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
Route39897.0,0.8,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route53919.0,0.75,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
RouteSet2817.2,0.909090909091,5,3,3,11,17,5,0.185369499466,0.6142857142857142,0.6599999999999999,0.5,0,2,3,4,2,3,4,0,0,0,2,-1.0
RouteSet2817.1,0.6,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
RouteSet6021.1,0.777777777778,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
RouteSet6021.2,0.666666666667,5,2,3,10,17,4,0.0351125404833,0.6142857142857142,0.6599999999999999,0.5,0,2,3,3,2,3,3,0,0,0,2,-1.0
Route13033.0,0.7272727272730001,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
RouteSet12533.1,0.833333333333,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route33791.0,0.666666666667,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route9836.0,0.933333333333,6,4,4,14,21,6,0.230089496654,0.5888888888888889,0.6611111111111111,0.4444444444444444,0,3,4,5,3,4,5,0,0,0,3,-1.0
RouteSet8264.1,0.833333333333,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
Route57215.0,0.75,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route59892.0,0.666666666667,2,1,2,5,6,2,0.25,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,2,1,2,1,0,0,0,1,-1.0
RouteSet17808.1,0.75,3,1,2,6,9,2,0.181818181818,0.75,0.8333333333333334,0.5,0,1,2,2,1,2,1,0,0,0,1,-1.0
Route18737.0,0.833333333333,2,2,2,6,6,4,0.5,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,3,1,2,3,0,0,0,1,-1.0
Building31974.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route35133.0,0.714285714286,15,9,9,33,72,6,0.445940262569,0.4834713595583161,0.4937037037037037,0.4642857142857143,0,4,4,5,4,4,5,0,0,0,4,-1.0
Building4742.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
RouteSet1548.1,0.75,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route39159.0,0.833333333333,4,2,3,9,13,4,0.18446619684300003,0.6222222222222222,0.725,0.4166666666666666,0,2,3,3,2,3,3,0,0,0,2,-1.0
RouteSet2807.1,0.6,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
RouteSet2807.2,0.833333333333,5,3,3,11,17,5,0.185369499466,0.6142857142857142,0.6599999999999999,0.5,0,2,3,4,2,3,4,0,0,0,2,-1.0
RouteSet2807.3,0.928571428571,7,4,4,15,26,6,0.20234573055,0.5561904761904761,0.5802721088435374,0.5,0,3,4,5,3,4,5,0,0,0,3,-1.0
Building21080.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route53161.0,0.8,4,2,3,9,13,4,0.18446619684300003,0.6222222222222222,0.725,0.4166666666666666,0,2,3,3,2,3,3,0,0,0,2,-1.0
Building10753.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
RouteSet21281.1,0.714285714286,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
Route56824.0,0.666666666667,2,1,2,5,6,2,0.25,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,2,1,2,1,0,0,0,1,-1.0
Building19147.0,0.4,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route39383.0,0.5,2,1,2,5,6,2,0.25,0.5555555555555555,0.6666666666666666,0.3333333333333333,0,1,2,2,1,2,1,0,0,0,1,-1.0
RouteSet10080.1,0.6,3,2,2,7,9,4,0.36377380100699996,0.75,0.8333333333333334,0.5,0,1,2,3,1,2,3,0,0,0,1,-1.0
Building1501.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building12335.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Building8869.0,0.833333333333,1,1,1,3,2,2,-1.0,0.0,0.0,0.0,0,0,1,2,0,0,1,0,0,0,-1,-1.0
Route22322.0,0.833333333333,11,7,7,25,48,6,0.42075599002999997,0.5119047619047619,0.5426406926406927,0.4555555555555556,0,4,4,5,4,4,5,0,0,0,4,-1.0
Route49737.0,0.75,7,3,5,15,28,4,0.32717236303,0.5242424242424243,0.5761904761904761,0.43333333333333335,0,3,4,4,3,4,4,0,0,0,3,-1.0
